,Compounds,CT-179_Resist_vs_Sens_logFC,AveExpr,t,P.Value,adj.P.Val,B,CT-179_mRCC,Group_num,Combination_Index
314,clonidine,-0.005933737,0.000457969,-6.868530118,6.56E-12,1.04E-11,14.25464044,-0.005841155,483,3.47E-05
315,fasudil,-0.013432242,0.002775185,-15.25710554,1.90E-52,6.53E-52,106.8085133,-0.002548956,621,3.42E-05
316,diphenidol,-0.00403652,-0.0083859,-5.526674483,3.28E-08,4.75E-08,5.944880457,-0.008480681,405,3.42E-05
317,imexon,-0.008682503,-0.005933076,-12.39810852,2.99E-35,7.77E-35,67.4199369,-0.003866286,561,3.36E-05
318,ramelteon,-0.00888855,0.001510331,-10.1991629,2.11E-24,4.35E-24,42.63598242,-0.003759834,565,3.34E-05
319,drospirenone,-0.006954478,-0.010248549,-7.521386495,5.50E-14,9.14E-14,18.94708822,-0.004658336,527,3.24E-05
320,trapidil,-0.01057511,-0.001462224,-10.64442042,1.97E-26,4.23E-26,47.26668876,-0.003027846,596,3.20E-05
321,PF.562271,-0.019312164,-0.000231828,-22.40607927,1.11E-110,8.62E-110,240.5098922,-0.001648537,651,3.18E-05
322,telcagepant,-0.00359143,-0.016698845,-4.502245643,6.74E-06,9.09E-06,0.810666002,-0.00883175,394,3.17E-05
323,benazepril,-0.009144074,-0.007724344,-11.66767382,2.04E-31,4.91E-31,58.65494397,-0.003450283,581,3.15E-05
324,defactinib,-0.010766831,0.022166144,-7.695457656,1.43E-14,2.40E-14,20.26998558,-0.002886799,604,3.11E-05
325,PF.04447943,-0.004186738,-0.002405595,-4.819881644,1.44E-06,1.99E-06,2.290498044,-0.007373666,440,3.09E-05
326,metolazone,-0.014004432,-0.017034981,-14.21371637,9.13E-46,2.81E-45,91.49683255,-0.002204329,635,3.09E-05
327,balapiravir,-0.008419548,-0.018049533,-10.59040094,3.50E-26,7.50E-26,46.69438095,-0.00365295,570,3.08E-05
328,guanadrel,-0.00491451,-0.009216407,-7.830451511,4.95E-15,8.45E-15,21.316696,-0.006201142,472,3.05E-05
329,ulipristal,-0.018204886,-0.001192796,-23.82831933,7.62E-125,7.85E-124,273.0609531,-0.001585043,655,2.89E-05
330,rutin,-0.004385398,-0.00447998,-5.379297256,7.51E-08,1.08E-07,5.141728623,-0.006508408,462,2.85E-05
331,aminoguanidine,-0.004977008,0.002370122,-6.137759298,8.43E-10,1.28E-09,9.506378057,-0.005733348,489,2.85E-05
332,seocalcitol,-0.010451647,-0.004708018,-13.41311277,5.90E-41,1.68E-40,80.47772402,-0.002677908,614,2.80E-05
